,auth_id,name,last_name,citations,cited_by,publications,orcid
6413,7101867634,Emilio J.,Ortiz,23.0,23,1.0,
6414,57207939897,Laura,Serrano-Ron,0.0,0,1.0,
6415,56940212600,Bruno Ordozgoiti,Rubio,4.0,4,1.0,
6416,57190678684,Pablo Bris,Marino,0.0,0,1.0,
6417,57191865910,J. Á,Piñero,1.0,1,1.0,
6418,56915482100,Rafael,Gonzalo,5.0,5,1.0,
6419,56982853900,Lorge,Davila,2.0,2,1.0,
6420,57196560124,A.,Ros,2.0,2,1.0,
6421,57205022863,A.,Pinedo,0.0,0,1.0,
6422,57205904344,Nelson Flores,Medina,2.0,2,1.0,
6423,15058230400,José Miguel,Llorens,70.0,70,2.0,
6424,57196026937,Javier,Ruiz-Pinar,0.0,0,1.0,
6425,14825357300,M.,Lachaise,0.0,0,2.0,
6426,56340972700,Tomás San Feliu,Guilabert,3.0,3,1.0,
6427,57194413372,Gregorio,García-López-De-La-Osa,0.0,0,1.0,
6428,57208158613,Angel García,Pedrero,0.0,0,1.0,
6429,57202035537,Jocelyn,Tillería González,0.0,0,1.0,
6430,57192038061,Isaias Sidney,Chocron-Benloulo,55.0,55,1.0,
6431,6506493971,A. V.,De Alcázar,4.0,4,1.0,
6432,56977236700,Juan Rios,Carrión,0.0,0,1.0,
6433,56689647000,Pablo,Real,20.0,20,1.0,
6434,25521173100,Victor,Eslava,24.0,23,2.0,
6435,57204027897,Javier Rueda,Ojeda,1.0,1,1.0,
6436,56915538300,José Félix,Funes,13.0,13,1.0,
6437,55025256300,Julien Victor,Monnot,2.0,2,2.0,
6438,57204312748,J.,De Cárdenas Y Chávarri,3.0,3,1.0,
6439,57188685399,Ana,Gutierrez,0.0,0,1.0,
6440,57196712287,Alfonso,Rodríguez-Patón Aradas,0.0,0,1.0,
6441,6508106674,Teresa,Arredondo,0.0,0,1.0,
6442,13807652400,Ignacio,Mellado,13.0,13,2.0,
6443,57208428054,Daniel,Corregidor,0.0,0,1.0,
6444,57188818501,Antonio García,De Alcaraz Serrano,0.0,0,1.0,
6445,57188756558,Roberto Rodríguez Solano,Suárez,0.0,0,1.0,
6446,57198339277,F.,Domínguez,19.0,19,1.0,
6447,56728237700,José Ramón Sánchez,Couso,1.0,1,1.0,
6448,25522897600,Consuelo Acha,Román,8.0,8,2.0,
6449,57204472048,Margarita,Bolívar Jiménez,0.0,0,1.0,
6450,57206475650,Pablo,Aznar,0.0,0,1.0,
6451,6602522522,F. C S S,Maria,8.0,8,1.0,
6452,57196706578,Jorge,Salvador,1.0,1,1.0,
6453,56786035000,Clara,Benac,0.0,0,1.0,
6454,57190040272,J. A.,Velazques Iturbide,3.0,3,1.0,0000-0002-2614-0605
6455,56403416600,V.,Osma,4.0,4,1.0,
6456,55963521000,Ruth,Cunningham,21.0,21,2.0,
6457,6603773608,S.,Llorente,10.0,10,1.0,
6458,57194185851,Romi,Satria,2.0,2,1.0,
6459,57205098765,Luis,Fernández-Gutiérrezdelalamo,0.0,0,1.0,
6460,6506545262,A. Moreno,Capuchino,10.0,10,1.0,
6461,6603734751,E.,Enríquez,129.0,129,1.0,
6462,55781188000,Antonio,Rivero,3.0,3,2.0,
6463,7102384432,Blas C.,De,0.0,0,0.0,
6464,57191576851,P.,Cifuentes,0.0,0,1.0,
6465,55760169500,P. R.,Monteverde,0.0,0,2.0,
6466,55936693200,Iván G.,Torre,7.0,6,2.0,
6467,57197900060,Javier López,Blázquez,4.0,4,1.0,
6468,57200534445,María José,Duro-García,0.0,0,1.0,
6469,56358524800,Emilia,Palma,0.0,0,1.0,
6470,55619312641,J. M.,López,87.0,87,2.0,
